"                 /;.,   3 ",UFV,CNPJ,Unidade,Frente,Natureza,Portfólio,Fornecedor,Contrato original,Aditivo 1,Aditivo 2,Aditivo 3,Aditivo 4,Aditivo 5,Valor total,FD.Medido,Medição,FD+Medição,Saldo a Medir,Avanço Contratual%,"Pagamento? 
Sim / Não",OBS:
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Equipamentos Curva A - Outros (Transformadores),Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Equipamentos Curva A - Outros (Cabine + Skid),Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Equipamentos Curva A - Outros (Cabine + Skid + Transformador),Mori,Romagnole,223422.3186,0,0,0.0,0.0,0.0,223422.3186,0.0,223422.3186,223422.3186,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Desenvolvimento de projeto - Projetos - (Eng° Proprietario),Mori,Afaplan,151743.28,0,0,0.0,0.0,0.0,151743.28,0.0,151743.28,151743.28,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Desenvolvimento de projeto - Projetos - Executivos,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Desenvolvimento de projeto - Projetos Básica,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Desenvolvimento de projeto - Projetos Detalhada,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Desenvolvimento de projeto - Ambiental / Outros,Mori,Varios,210312.58000000002,0,0,0.0,0.0,0.0,210312.58000000002,0.0,210312.58000000002,210312.58000000002,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Desenvolvimento de projeto - Coordenograma,Mori, PROJETTI,6206.9,2281.25,0,0.0,0.0,0.0,8488.15,0.0,8488.15,8488.15,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Sistemas de Monitoramento - Supervisório,Mori,ATI,126513.54,,0,0.0,0.0,0.0,126513.54,14032.0,112481.54000000001,126513.54000000001,0.0,1.0000000000000002,,
